Time,Open,High,Low,Latest,Volume
10/6/00,143.88,144.63,139.75,141.06,10014900
10/9/00,141.31,141.31,139.38,140,4508000
10/10/00,140.09,141.25,137.69,137.69,6104700
10/11/00,137.63,138.63,135.13,136.53,10366000
10/12/00,137.28,137.59,132.78,133.13,12336900
10/13/00,132.94,137.66,132.88,137.56,11778800
10/16/00,137.41,139,136.69,138.19,5659000
10/17/00,138.44,138.56,134.41,134.75,7831700
10/18/00,132.63,136.13,130.16,134.25,10897300
10/19/00,136.84,139.44,136.44,139.28,8767300
10/20/00,138.38,141.19,138.38,139.91,7373500
10/23/00,139.94,141.03,138.94,140.53,5290000
10/24/00,140.97,141.94,139,139.59,5750700
10/25/00,138.75,139.56,136.13,136.31,9137600
10/26/00,137.13,137.66,134,136.69,9345800
10/27/00,137.88,139.28,136.63,139.28,9762900
10/30/00,138.44,141.09,138.16,140.53,10154100
10/31/00,141.03,143.69,140.06,142.94,7752400
11/1/00,142.25,143.25,141.22,142.47,6753600
11/2/00,143.16,143.91,142.5,142.69,11395100
11/3/00,143.47,143.75,142.19,142.78,5187100
11/6/00,143.16,144.28,143.03,143.78,4042500
11/7/00,143.13,144,142.56,143.75,5231300
11/8/00,143.06,143.97,140.56,140.56,6123300
11/9/00,140,141.22,137.25,140.03,10635300
11/10/00,139,139.47,136.53,136.63,8569500
11/13/00,135.63,136.97,133.03,135.56,17285300
11/14/00,137.47,139.63,137,139.13,7668900
11/15/00,139.06,140.09,137.75,139.56,8837700
11/16/00,138.56,139.88,137.31,137.38,6684100
11/17/00,137.31,139,135.75,136.63,6551100
11/20/00,135.75,136.38,134.31,134.69,5458500
11/21/00,134.88,136.19,133.5,135.38,7684300
11/22/00,134.34,134.88,132,132.13,5736900
11/24/00,133.63,134.97,133.63,134.84,3411600
11/27/00,136.47,136.69,135.31,136.03,5992000
11/28/00,135.13,136.59,133.63,133.69,5336100
11/29/00,134.38,135.91,133.25,133.44,6914100
11/30/00,132.5,133.5,129.75,132.28,11201600
12/1/00,133.19,134.06,131,132.22,7587200
12/4/00,131.88,135,131.5,133.34,6996600
12/5/00,134.88,138.25,134.41,137.72,8883400
12/6/00,137.78,138.34,135.03,135.5,12888000
12/7/00,134.88,135.88,133.66,133.66,6529100
12/8/00,137.06,139.13,133.88,133.97,10276300
12/11/00,137.38,139.56,136.72,138.63,6405600
12/12/00,138.25,138.81,137.38,138.03,5022900
12/13/00,139.25,139.41,136.03,136.13,6070500
12/14/00,135.88,136.5,134.03,134.41,7778400
12/15/00,133.13,133.25,130.56,130.97,9065300
12/18/00,132.06,133.47,131.77,132.72,7235400
12/19/00,132.47,134.97,130.03,130.03,9616700
12/20/00,128.63,128.94,126.09,126.25,9994300
12/21/00,126.41,128.84,125.53,127.13,14331500
12/22/00,129,131.09,128.84,130.94,10182900
12/26/00,130.84,132.34,130.28,132.34,4665300
12/27/00,132,133.72,131.25,133.31,4854100
12/28/00,132.81,133.88,132.59,133.72,8358700
12/29/00,134.06,134.28,131.19,131.19,8774600
1/2/01,132,132.16,127.56,128.81,8737500
1/3/01,128.31,136,127.66,135,19431600
1/4/01,134.94,135.47,133,133.53,9219000
1/5/01,133.47,133.63,129.19,129.19,12911400
1/8/01,129.88,130.19,127.63,130.19,6625300
1/9/01,131.03,131.5,129.41,129.84,5702400
1/10/01,129,132.13,128.81,132.13,8743900
1/11/01,131.09,133.47,131.09,132.25,7245300
1/12/01,132.69,133.72,131.28,132,7244000
1/16/01,132,133.19,131.5,132.84,8542200
1/17/01,134.84,135.03,132.63,133.44,7851400
1/18/01,133.44,135.69,132.94,134.78,8107000
1/19/01,136.19,136.19,133.88,134.03,7782500
1/22/01,134.25,135.78,133.56,134.91,7050900
1/23/01,134.47,136.66,134.16,135.97,8463100
1/24/01,136.25,137.31,135.84,136.38,6199900
1/25/01,136.25,137.25,135.66,136.03,10818300
1/26/01,135.16,136.13,134.44,135.88,7136800
1/29/01,135.5,136.9,135.37,136.6,6705900
1/30/01,136.3,137.92,135.79,137.8,7069100
1/31/01,137.4,138.7,136.6,137.02,9706900
2/1/01,137.1,137.95,136.25,137.93,8239600
2/2/01,137.4,137.99,134.75,134.8,8276700
2/5/01,134.8,135.94,134.75,135.79,4352900
2/6/01,135.3,136.7,135.22,135.39,7106700
2/7/01,134.72,135.42,133.68,134.69,5748700
2/8/01,134.8,135.4,133.1,133.12,5943300
2/9/01,133.35,133.35,131.26,131.84,9913000
2/12/01,131.7,133.5,131.7,133.35,5804400
2/13/01,133.7,134.17,132,132.26,6587600
2/14/01,132.6,132.65,130.66,132.06,8400100
2/15/01,132.84,133.52,131.99,133.34,5929800
2/16/01,131,131.29,129.3,130.4,6434900
2/20/01,131.04,131.14,128.1,128.39,5760000
2/21/01,127.9,128.84,125.5,125.62,10910800
2/22/01,126.35,126.54,123.02,125.81,21281600
2/23/01,125.08,125.54,121.8,124.96,20173000
2/26/01,125.8,127.62,124.5,127.62,11503700
2/27/01,126.8,127.84,125.51,126.44,11415200
2/28/01,126.75,126.84,123.27,123.95,14831100
3/1/01,124.05,124.6,121.75,124.6,14672000
3/2/01,122.5,125.65,122.3,123.61,12564300
3/5/01,124.15,124.78,123.81,124.74,5293200
3/6/01,126.35,127.75,125.49,126.08,6917000
3/7/01,126.9,127.04,125.76,126.98,6371700
3/8/01,126.6,127.24,126.14,127.12,6055000
3/9/01,126.1,126.1,123.11,123.36,10020300
3/12/01,122.34,122.5,117.75,118.08,13973100
3/13/01,119.4,120.44,117.53,120.02,12888000
3/14/01,117.05,119.29,115.75,117.65,19883400
3/15/01,118.45,118.86,117.36,117.68,10370300
3/16/01,117.13,118.5,114.46,115.01,58515700
3/19/01,115.76,117.69,114.82,117.35,10067800
3/20/01,117.9,118.46,114.11,114.2,15086900
3/21/01,114.18,115.26,111.9,112.26,19004700
3/22/01,112.02,112.6,108.04,111.12,28626600
3/23/01,113.25,114.66,111.5,114.48,12861700
3/26/01,115.7,116.27,114.77,115.94,9944800
3/27/01,115.62,118.65,115.25,118.31,12882000
3/28/01,116.9,117.5,114.9,115.04,10953300
3/29/01,114.7,116.5,112.14,115.48,12061600
3/30/01,115.55,116.69,114.5,116.69,9183600
4/2/01,116.3,117.38,113.8,114.2,10561000
4/3/01,113.98,114.15,110.06,110.39,12838000
4/4/01,110.57,112.1,109.3,110.85,14887300
4/5/01,113.3,115.49,112.5,115.05,21528500
4/6/01,113.99,114.4,112.06,113.3,14937800
4/9/01,114,115.48,112.78,114.56,9036900
4/10/01,115.45,117.75,115.17,116.65,17877100
4/11/01,118.78,118.99,116.14,116.73,12735100
4/12/01,116.3,118.94,115.96,118.85,9233200
4/16/01,118.29,118.89,116.91,117.6,7351000
4/17/01,117.31,119.66,117.02,119.26,10927400
4/18/01,121.06,126,120.69,124,32495000
4/19/01,124.25,125.84,123.58,125.65,13810800
4/20/01,124.9,125.4,123.66,124.5,7626700
4/23/01,123.65,123.89,121.91,122.24,8451800
4/24/01,122.52,123.7,121.1,121.58,10046800
4/25/01,121.42,123.67,120.95,123.17,8249000
4/26/01,123.73,125.22,123.5,123.72,10590700
4/27/01,124.92,125.84,124.2,125.78,8048900
4/30/01,126.45,127.66,124.67,124.91,10766900
5/1/01,125.07,127.15,124.6,127.05,10578300
5/2/01,127.41,127.69,126,126.82,9572900
5/3/01,126.13,126.15,124.22,125.21,9926200
5/4/01,123.65,127.35,123.44,127.34,12145300
5/7/01,126.95,127.47,125.53,126.24,7185200
5/8/01,126.86,127.1,125.56,126.18,6952900
5/9/01,125.25,126.6,125.06,125.65,9507400
5/10/01,127.26,127.5,125.77,126.02,6872400
5/11/01,126,126.49,124.4,125.15,7739400
5/14/01,124.9,125.44,124.46,125.4,7914000
5/15/01,125.55,126.5,124.85,125.98,9782500
5/16/01,124.84,129.2,124.62,128.95,14916200
5/17/01,129,130.08,128.56,129.15,11828900
5/18/01,129.09,129.74,128.1,129.74,6683300
5/21/01,129.84,131.84,129.15,131.65,11532100
5/22/01,131.83,132.09,131.07,131.48,8343200
5/23/01,131.05,131.05,129.25,129.25,12331000
5/24/01,129.47,130,128.55,129.63,7906300
5/25/01,129.65,129.7,127.9,128.1,7425000
