Time,Open,High,Low,Latest,Volume
12/12/22,394.11,398.95,393.412,398.95,75405800
12/13/22,410.22,410.49,399.07,401.97,123782500
12/14/22,401.61,405.5,396.31,399.4,108111300
12/15/22,394.3,395.25,387.885,389.63,117705800
12/16/22,385.18,386.575,381.04,383.27,119857900
12/19/22,383.47,383.82,378.28,380.02,79878100
12/20/22,379.23,382.23,377.85,380.54,74427200
12/21/22,383.25,387.41,382.69,386.23,78167300
12/22/22,383.05,386.2134,374.77,380.72,100120800
12/23/22,379.65,383.06,378.03,382.91,59857300
12/27/22,382.79,383.15,379.65,381.4,51638100
12/28/22,381.33,383.39,376.42,376.66,70911500
12/29/22,379.63,384.35,379.08,383.44,66970800
12/30/22,380.64,382.58,378.43,382.43,84022200
1/3/23,384.37,386.43,377.831,380.82,74850700
1/4/23,383.18,385.88,380,383.76,85934100
1/5/23,381.72,381.84,378.76,379.38,76970400
1/6/23,382.61,389.25,379.4127,388.08,104189600
1/9/23,390.37,393.7,387.67,387.86,73978000
1/10/23,387.25,390.65,386.27,390.58,65358000
1/11/23,392.23,395.6,391.38,395.52,68881000
1/12/23,396.67,398.485,392.42,396.96,90157600
1/13/23,393.62,399.1,393.34,398.5,63903900
1/17/23,398.48,400.23,397.06,397.77,62677200
1/18/23,399.01,400.12,391.28,391.49,99632200
1/19/23,389.36,391.08,387.26,388.64,86958900
1/20/23,390.1,396.04,388.38,395.88,91806300
1/23/23,396.72,402.645,395.72,400.63,84178800
1/24/23,398.88,401.15,397.64,400.2,59524900
1/25/23,395.95,400.7,393.56,400.35,84800200
1/26/23,403.13,404.92,400.03,404.75,72287400
1/27/23,403.65,408.16,403.44,405.68,68346100
1/30/23,402.8,405.13,400.28,400.59,74202000
1/31/23,401.13,406.53,400.77,406.48,86811700
2/1/23,405.21,413.67,402.35,410.8,101459100
2/2/23,414.86,418.31,412.88,416.78,101654400
2/3/23,411.59,416.97,411.09,412.35,94736700
2/6/23,409.79,411.29,408.1,409.83,60295300
2/7/23,408.87,416.49,407.57,415.19,90990700
2/8/23,413.13,414.53,409.93,410.65,76227400
2/9/23,414.41,414.57,405.81,407.09,78694800
2/10/23,405.86,408.44,405.01,408.04,70769700
2/13/23,408.72,412.97,408.24,412.83,64913500
2/14/23,411.24,415.05,408.511,412.64,88389300
2/15/23,410.35,414.06,409.47,413.98,61685200
2/16/23,408.79,412.91,408.14,408.28,76431400
2/17/23,406.06,407.51,404.05,407.26,89257800
2/21/23,403.06,404.16,398.82,399.09,82655900
2/22/23,399.52,401.13,397.02,398.54,83742200
2/23/23,401.56,402.2,396.25,400.66,96242400
2/24/23,395.42,397.25,393.64,396.38,108194400
2/27/23,399.87,401.29,396.75,397.73,80444700
2/28/23,397.23,399.28,396.15,396.26,96438500
3/1/23,395.41,396.69,393.38,394.74,99706800
